ID Transacao,Item,Quantidade,Preco Unitario,Gasto Total,Metodo Pagamento,Localidade,Data Transacao
TXN_1961373,Cafe,2,2.0,4.0,Cartao de Credito,Entrega,2023-09-08
TXN_4977031,Bolo,4,3.0,12.0,Dinheiro,Loja,2023-05-16
TXN_4271903,Cookie,4,1.0,ERRO,Cartao de Credito,Loja,2023-07-19
TXN_7034554,Salada,2,5.0,10.0,Nao Sabemos,Nao Sabemos,2023-04-27
TXN_3160411,Cafe,2,2.0,4.0,Carteira Digital,Loja,2023-06-11
TXN_2602893,Smoothie,5,4.0,20.0,Cartao de Credito,,2023-03-31
TXN_4433211,Nao Sabemos,3,3.0,9.0,ERRO,Entrega,2023-10-06
TXN_6699534,Sanduiche,4,4.0,16.0,Dinheiro,Nao Sabemos,2023-10-28
TXN_4717867,,5,3.0,15.0,,Entrega,2023-07-28
TXN_2064365,Sanduiche,5,4.0,20.0,,Loja,2023-12-31
TXN_2548360,Salada,5,5.0,25.0,Dinheiro,Entrega,2023-11-07
TXN_3051279,Sanduiche,2,4.0,8.0,Cartao de Credito,Entrega,ERRO
TXN_7619095,Sanduiche,2,4.0,8.0,Dinheiro,Loja,2023-05-03
TXN_9437049,Cookie,5,1.0,5.0,,Entrega,2023-06-01
TXN_8915701,ERRO,2,1.5,3.0,,Loja,2023-03-21
TXN_2847255,Salada,3,5.0,15.0,Cartao de Credito,Loja,2023-11-15
TXN_3765707,Sanduiche,1,4.0,4.0,,,2023-06-10
TXN_6769710,Suco,2,3.0,6.0,Dinheiro,Loja,2023-02-24
TXN_8876618,Bolo,5,3.0,15.0,Dinheiro,ERRO,2023-03-25
TXN_3709394,Suco,4,3.0,12.0,Dinheiro,Entrega,2023-01-15
TXN_3522028,Smoothie,ERRO,4.0,20.0,Dinheiro,Loja,2023-04-04
TXN_3567645,Smoothie,4,4.0,16.0,Cartao de Credito,Entrega,2023-03-30
TXN_5132361,Sanduiche,3,4.0,12.0,Carteira Digital,Entrega,2023-12-01
TXN_2616390,Sanduiche,2,4.0,8.0,,,2023-09-18
TXN_9400181,Sanduiche,5,4.0,20.0,Dinheiro,Loja,2023-06-03
TXN_7958992,Smoothie,3,4.0,,Nao Sabemos,Nao Sabemos,2023-12-13
TXN_5183041,Cookie,5,1.0,5.0,Cartao de Credito,Loja,2023-04-20
TXN_5695074,Suco,4,3.0,12.0,Cartao de Credito,Entrega,2023-04-10
TXN_8467949,Smoothie,5,4.0,20.0,Cartao de Credito,,2023-03-11
